GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2021-04-14,3,31,27,2,3,0,1,3,0,6,11,8,121,2,5,0.111,0.342,0.82,-0.215,-0.98,9.0,49,14,13,10,6,1,8,4,35,10.0,2.22,0.2,-0.285,-8.02,205,118,2,2,0,1
2021-04-14,9,32,29,3,2,0,3,1,2,8,5,10,113,0,4,0.069,0.294,1.3,0.03,-1.97,9.0,34,5,0,0,3,1,8,0,67,0.0,0.89,0.85,0.467,4.97,165,103,0,0,1,0
2021-04-14,5,34,30,0,5,0,0,3,1,8,8,10,165,0,12,0.167,0.465,2.96,-0.468,-4.98,9.0,32,2,3,3,1,2,8,0,64,3.0,0.33,0.38,-0.032,1.97,113,68,0,0,0,1
2021-04-14,6,40,37,6,11,0,4,2,1,9,11,9,141,1,14,0.297,0.701,1.1,0.178,1.03,9.0,32,4,2,2,1,1,5,0,72,2.0,0.56,0.79,0.321,2.98,148,96,1,1,1,0
2021-04-14,2,32,29,2,4,0,2,1,1,5,9,8,148,1,10,0.138,0.36,1.76,-0.323,-2.98,9.0,40,11,6,6,2,1,9,0,43,6.0,1.44,0.39,-0.177,-1.02,141,94,1,1,0,1
2021-04-14,4,51,44,2,10,0,2,5,0,5,17,8,207,1,25,0.227,0.556,4.61,-0.768,-4.65,11.2,44,5,3,3,6,1,6,0,53,2.31,0.94,1.91,0.268,4.64,162,97,0,0,0,0
2021-04-14,0,44,35,3,5,0,2,6,1,6,14,13,162,2,11,0.143,0.422,3.88,-0.268,-4.65,12.0,51,10,2,2,5,0,5,0,63,1.5,1.25,2.01,0.768,4.64,207,129,2,0,1,1
2021-04-15,7,47,38,8,17,0,7,6,0,7,9,14,198,1,24,0.447,1.076,2.33,0.374,3.02,9.0,37,6,3,2,3,0,5,0,48,2.0,1.0,0.68,0.128,1.97,136,81,0,0,1,0
2021-04-15,1,37,34,3,6,0,3,3,0,5,8,4,136,1,20,0.176,0.419,1.99,-0.127,-1.99,9.0,47,17,8,6,6,0,7,0,34,6.0,2.56,0.95,-0.372,-3.02,198,113,3,0,0,1
2021-04-15,8,37,35,6,8,2,6,2,0,10,10,10,152,0,8,0.229,0.727,1.49,0.321,1.01,9.0,37,10,4,4,0,1,6,0,52,4.0,1.11,1.21,0.179,0.97,154,107,0,0,1,0
2021-04-15,3,37,36,4,10,0,3,0,1,6,10,7,154,1,11,0.278,0.714,2.65,-0.18,-0.99,9.0,37,8,6,6,2,0,10,2,45,6.0,1.11,0.67,-0.321,-1.03,152,99,0,0,0,1
2021-04-15,9,37,32,3,5,1,3,5,0,9,5,13,134,0,15,0.156,0.551,1.9,-0.174,-1.96,8.0,37,13,9,8,0,0,6,2,44,9.0,1.63,0.24,-0.327,-4.59,136,96,0,0,0,0
2021-04-15,5,37,36,9,13,2,8,0,0,6,6,10,136,1,12,0.361,0.962,0.95,0.326,4.57,9.0,37,5,3,3,5,0,9,1,48,3.0,1.11,0.52,0.174,1.97,134,82,2,0,1,1
2021-04-15,6,28,27,0,2,0,0,1,0,11,12,8,108,2,1,0.074,0.181,2.03,-0.406,-3.98,8.0,35,4,4,4,7,0,3,1,43,4.5,1.38,0.49,-0.093,0.43,144,88,1,1,0,0
2021-04-15,2,35,28,4,4,1,4,7,0,3,12,1,144,0,15,0.143,0.564,6.63,0.092,-0.42,9.0,28,2,0,0,1,0,11,0,93,0.0,0.33,0.67,0.407,3.98,108,70,0,0,1,1
2021-04-15,4,43,35,5,9,0,5,7,0,11,14,5,202,0,22,0.257,0.686,1.97,0.02,0.02,8.0,45,13,10,10,9,0,4,0,31,11.25,2.75,0.6,-0.522,-5.57,179,101,3,2,0,0
2021-04-15,0,45,36,10,13,0,10,9,0,4,7,9,179,1,15,0.361,0.989,1.37,0.521,5.58,9.0,43,9,5,5,7,0,11,0,47,5.0,1.78,0.76,-0.02,-0.03,202,125,3,0,1,1
2021-04-16,1,39,32,0,6,0,0,5,2,5,13,4,139,2,19,0.188,0.552,8.24,-0.745,-4.98,8.0,33,7,1,1,5,0,3,0,52,1.13,1.5,0.98,0.247,3.43,154,90,3,0,0,0
2021-04-16,8,33,27,1,7,0,1,5,0,3,11,9,154,2,16,0.259,0.634,1.66,-0.247,-3.45,9.0,39,6,0,0,5,2,5,0,66,0.0,1.22,2.24,0.746,4.97,139,83,3,0,1,1
2021-04-16,0,46,41,11,16,0,10,4,0,8,7,10,177,0,22,0.39,0.898,1.26,0.486,6.02,9.0,47,11,6,6,9,1,8,1,36,6.0,2.22,1.89,0.015,-1.04,188,99,6,2,1,0
2021-04-16,5,47,37,6,11,1,6,9,1,8,4,14,188,1,27,0.297,0.879,2.62,-0.014,1.05,9.0,46,16,11,11,4,0,8,0,43,11.0,2.22,0.8,-0.486,-6.04,177,117,7,3,0,1
2021-04-16,3,38,36,4,10,1,4,2,0,7,8,10,165,1,11,0.278,0.733,1.95,0.158,-0.97,8.0,37,8,8,8,5,0,6,0,57,9.0,1.63,2.14,-0.658,-3.58,140,85,5,4,0,0
2021-04-16,7,37,31,8,8,0,8,5,0,6,12,7,140,0,9,0.258,0.706,2.79,0.658,3.57,9.0,38,10,4,4,2,0,7,1,46,4.0,1.33,1.06,-0.158,0.99,165,110,1,0,1,1
2021-04-16,2,42,34,3,11,0,3,4,1,7,5,9,157,1,28,0.324,0.812,4.28,-0.175,-2.0,8.0,39,10,9,8,6,0,8,1,64,9.0,2.0,1.26,-0.326,-4.57,172,103,3,3,0,0
2021-04-16,4,39,33,9,10,1,8,6,0,8,9,7,172,0,11,0.303,0.895,2.51,0.325,4.57,9.0,42,11,3,2,4,1,7,0,54,2.0,1.67,1.15,0.173,1.97,157,102,0,0,1,1
2021-04-16,6,36,33,1,7,0,1,3,0,10,8,10,144,0,13,0.212,0.551,1.52,-0.226,-3.99,8.0,43,11,9,9,7,0,5,2,40,10.13,2.25,0.69,-0.274,-4.58,155,90,6,4,0,0
2021-04-16,9,43,35,9,11,2,9,7,0,5,10,6,155,0,31,0.314,0.915,2.22,0.272,4.57,9.0,36,7,1,1,3,0,10,0,64,1.0,1.11,0.27,0.227,3.97,144,93,0,0,1,1
